#
# File created on Mon Dec 29 07:48:51 UTC 2025
#

Startpoint,Endpoint,DelayType,Slack,#Levels,#LUTs
flt_inst/addrr_reg[8]/C,flt_inst/mem_gen[1].data_buf/mem_r_reg/ADDRBWRADDR[12],min,0.144,0,0
flt_inst/addrr_reg[8]/C,flt_inst/mem_gen[2].data_buf/mem_r_reg/ADDRBWRADDR[12],min,0.144,0,0
sys_rstn_cnt_reg[0]/C,sys_rstn_cnt_reg[5]/D,min,0.147,1,1
flt_inst/data_reg[7]/C,flt_inst/mem_gen[2].data_buf/mem_r_reg/DIADI[7],min,0.148,0,0
flt_inst/addrw_reg[2]/C,flt_inst/mem_gen[0].data_buf/mem_r_reg/ADDRARDADDR[6],min,0.148,0,0
flt_inst/addrw_reg[2]/C,flt_inst/mem_gen[3].data_buf/mem_r_reg/ADDRARDADDR[6],min,0.148,0,0
flt_inst/data2_idx_reg[2]/C,flt_inst/data2_idx_reg[1]/D,min,0.150,1,1
flt_inst/addrr_reg[4]/C,flt_inst/mem_gen[1].data_buf/mem_r_reg/ADDRBWRADDR[8],min,0.151,0,0
flt_inst/addrr_reg[4]/C,flt_inst/mem_gen[2].data_buf/mem_r_reg/ADDRBWRADDR[8],min,0.151,0,0
flt_inst/data_reg[2]/C,flt_inst/mem_gen[2].data_buf/mem_r_reg/DIADI[2],min,0.151,0,0
flt_inst/h_line_cnt_reg[4]/C,flt_inst/h_line_cnt_reg[5]/D,min,0.153,1,1
flt_inst/data_reg[3]/C,flt_inst/mem_gen[2].data_buf/mem_r_reg/DIADI[3],min,0.156,0,0
flt_inst/data_reg[6]/C,flt_inst/mem_gen[2].data_buf/mem_r_reg/DIADI[6],min,0.156,0,0
flt_inst/FSM_onehot_dw_fsm_reg[2]/C,flt_inst/FSM_onehot_dw_fsm_reg[0]/D,min,0.157,1,1
flt_inst/addrr_reg[3]/C,flt_inst/addrr_reg[4]/D,min,0.157,1,1
flt_inst/data_reg[1]/C,flt_inst/mem_gen[2].data_buf/mem_r_reg/DIADI[1],min,0.158,0,0
